DID,DNAME,PRECAU,OCCUR,RISKFAC,LDNAME
131,Paroxysmal Positional Vertigo,"Lie down, avoid sudden change in body, avoid abrupt head movement, relax
",Common -More than 1 million cases per year (India),"Age 50 and older, being woman, head injury, disorder of the balance organs of your ear.",paroxysmal positional vertigo
132,Acne,"Bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products
",Very common-More than 10 million cases per year (India),"Being teenager, Hormonal changes, Friction or pressure on your skin, Stress, certain medicines.",acne
133,Urinary tract infection,"Drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics
",Very common-More than 10 million cases per year (India),"Being women, Women who use diaphragms, A suppressed immune system, Kidney stones.",urinary tract infection
134,Psoriasis,"Wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths
",Very common-More than 10 million cases per year (India),"Family history, Viral and bacterial infections, Obesity, Lesions, Smoking.",psoriasis
135,Impetigo,"Wash your hands often with soap and water, use alcohol hand rubs, Do not share personal items
",Very common-More than 10 million cases per year (India),"Diabetes, weakened immune system, children ages 2 to 5, Crowded conditions, Broken skin",impetigo
136,Swine flu,"Get vaccinated against H1N1, wash your hands often with soap, Avoid touching your eyes,nose or mouth",Rare -Fewer than 1 million cases per year (India),"Swine farmers and veterinarians, traveled to an area where many people are affected by swine flu.",swine flu
137,ADHD,"protein-rich breakfast, walk to school if possible, have a quiet place to do homework.",Very common-More than 10 million cases per year (India),"Exposure to environmental toxins, family history, drug use, alcohol use or smoking during pregnancy",adhd
138,Bird flu,"Use different utensils for cooked and raw meat, cook meat fully, avoid contact with live poultry.",Extremely rare- Fewer than 5 thousand cases per year (India),"contact with sick birds or with surfaces contaminated by their feathers, saliva or droppings",bird flu
139,Chikungunya,"Prevent mosquito bites, Use insect repellent, wear long-sleeved shirts and pants.",Extremely rare- Fewer than 5 thousand cases per year (India),"Older age, people with underlying medical conditions, such as hypertension, diabetes, or heart disease.",chikungunya
140,Cholera,"Drink safe water, Wash your hands often with soap, Use toilets, use safe water for cooking.",Extremely rare- Fewer than 5 thousand cases per year (India),"Poor sanitary conditions, Reduced or nonexistent stomach acid, Type O blood, undercooked shellfish.",cholera
141,Depression,"Handle stress, improve your self-esteem, Get enough sleep, eat well, and exercise regularly",Very common-More than 10 million cases per year (India),"Certain traits, Traumatic events, family history, alcoholism or suicide, intersex, chronic illness",depression
142,Epilepsy,"Take frequent breaks, drink lots of water, Wear protective clothing, Avoid busy streets when riding",Common -More than 1 million cases per year (India),"Family history, Family history, Stroke and other vascular diseases, Dementia, Brain infections.",epilepsy
143,Gonorrhoea,"Use condom during sexual intercourse, have sexually monogamous partner with no infection.",Very common-More than 10 million cases per year (India),"Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD",gonorrhoea
144,Gout,"Limit the intake of alcohol, fat, lose weight, Eat more complex carbohydrates, drink lots of water.",Very common-More than 10 million cases per year (India),"High levels of uric acid, Alcohol consumption, Obesity, high BP, chronic condition, being man.",gout
145,Thyroid,"Avoid smoking, drink plenty water, Eat selenium, tyrosine, and antioxidants rich food.",Very common-More than 10 million cases per year (India),"Woman who’s had menopause, Had prolonged, calcium, vitamin D deficiency, Had radiation treatment.",thyroid
146,Herpes,"Always use condoms and dental dams during oral, anal, and vaginal sex.",Very common-More than 10 million cases per year (India),"Having multiple sexual partners, being woman, having sex during a herpes outbreak.",herpes
147,Insomnia,"Avoid caffeine, alcohol late in the day, exercise regularly, Make your sleep place comfortable.",Very common-More than 10 million cases per year (India),"Older age, being woman, during menopause, menstrual cycle or pregnancy,stress,mental health disorder",insomnia
148,Conjunctivitis,"Avoid touching your eyes with unwashed hands, Do not share items used by an infected person.",Very rare- Fewer than 100 thousand cases per year (India),"Using contact lenses, Exposure to something for which you have an allergy.",conjunctivitis
149,Kidney stones,"Stay hydrated, Eat more calcium-rich foods and Eat less sodium, oxalate-rich foods, animal protein.",Common -More than 1 million cases per year (India),"Dehydration, family history, Digestive diseases, obesity, diet high in protein, sodium and sugar",kidney stones
150,PCOS,"Maintain a healthy weight, Limit carbohydrates, Be active, Exercise regularly.",Common -More than 1 million cases per year (India),"Diabetes, High blood pressure, Unhealthy cholesterol, Depression and anxiety.",pcos
151,Rabies,"Vaccinate dogs and cats against rabies, Do not keep wild animals as pets, Leave stray animals alone.",Very rare- Fewer than 100 thousand cases per year (India),"Travelling where rabies is common, Activities that put you in contact with wild animals.",rabies
152,Schizophrenia,"Don't use street drugs, and moderate any use of alcohol, Avoid social isolation.",Common -More than 1 million cases per year (India),"Family history, birth complications, drugs during teen years and young adulthood.",schizophrenia
153,Diphtheria,Prevent contact with infected persons.,Very rare- Fewer than 100 thousand cases per year (India),"People living in unsanitary conditions, anyone who tours where diphtheria infections are more common",diphtheria
154,E. coli Infection,"Wash hands, cutting boards, utensils after they touch raw meat. Avoid raw milk, unpasteurized dairy",Very rare- Fewer than 100 thousand cases per year (India),"Weakened immune systems, Eating certain types of food, being non vegetarian.",e. coli infection
155,Giardiasis,"Practice good hygiene, Avoid contaminated water,eating contaminated food, Prevent contact with feces",Rare -Fewer than 1 million cases per year (India),"Children, People without access to safe drinking water, rural or wilderness areas",giardiasis
156,Lyme disease,"Use insect repellents, tick-proof your yard, Check your clothing, your children and pets for ticks",Extremely rare- Fewer than 5 thousand cases per year (India),"Spending time in wooded or grassy areas, Not removing ticks promptly or properly",lyme disease
157,Measles,"Practice good hand hygiene, Don’t share personal items with people who may be ill, get vaccinated",Extremely rare- Fewer than 5 thousand cases per year (India),"Being unvaccinated, Having a vitamin A deficiency, travelling to places where measles is common",measles
158,Meningitis,"Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person",Extremely rare- Fewer than 5 thousand cases per year (India),"Skipping vaccinations, pregnant women, weak immune system, AIDS, alcoholism, diabetes, using drugs",meningitis
159,Mumps,"Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person",Very rare- Fewer than 100 thousand cases per year (India),"Being unvaccinated, travelling to places where mumps is common, contact of ill person",mumps
160,Polio,"Getting vaccinated,",Extremely rare- Fewer than 5 thousand cases per year (India),"Children younger than 5, unvaccinated individuals",polio
161,Rubella,"Getting vaccinated, do not contact ill person",Very rare- Fewer than 100 thousand cases per year (India),"Contact with infected patient, not vaccinated, Overcrowding, Poor immune system, Medical personnel.",rubella
162,Tetanus,"Control bleeding, Keep the wound clean, Use antibiotics, Cover the wound, Change the dressing",Extremely rare- Fewer than 5 thousand cases per year (India),"Injecting drugs, Gunshot wounds, fractures, Animal or insect bites, foot ulcers, surgical wounds",tetanus
163,Whooping cough,"Getting vaccinated,",Rare -Fewer than 1 million cases per year (India),"Being unvaccinated, travelling to places where whooping cough is common, contact of ill person",whooping cough
164,Yellow fever,"Prevent mosquito bites Use insect repellent, wear protective clothing, and get vaccinated before traveling",Extremely rare- Fewer than 5 thousand cases per year (India),If you travel to an area where mosquitoes continue to carry the yellow fever virus.,yellow fever
165,Anthrax,"Avoid touching a contaminated surface, avoid contact of ill person, prevent animal bites.",Extremely rare- Fewer than 5 thousand cases per year (India),"Handle animal skins, furs, Work with anthrax in a laboratory, Inject illegal drugs.",anthrax
166,Chlamydia,"Use condom during sexual intercourse, have sexually monogamous partner with no infection.",Common -More than 1 million cases per year (India),"Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD",chlamydia
167,Leprosy,Early diagnosis and treatment of people who are infected.,Very rare- Fewer than 100 thousand cases per year (India),"Living in an endemic region, contact of person suffering from leprosy",leprosy
168,Phthiriasis,Do not use infected person's personal items,Rare -Fewer than 1 million cases per year (India),If in sexual contact with person with pubic lice.,phthiriasis
169,Salmonella,"Avoid eating raw eggs, undercooked meat, Refrigerate food properly, wash hands after contacting meat",Common -More than 1 million cases per year (India),"Owning a pet bird or reptile, Inflammatory bowel disease, AIDS, Sickle cell disease, Malaria.",salmonella
170,Smallpox,"Getting vaccinated, do not contact ill person",Extremely rare- Fewer than 5 thousand cases per year (India),"Being unvaccinated, contact with person suffering from small pox",smallpox
171,Vaginosis,"Avoid over-washing, Avoid using strong detergent for underwear, Change your tampons or pads frequently.",Very common-More than 10 million cases per year (India),"Having multiple sex partners, Natural lack of lactobacilli bacteria, Douching.",vaginosis
172,Zika,"Prevent mosquito bites, using condoms, use insect repellents, wear protective clothing while travelling",Extremely rare- Fewer than 5 thousand cases per year (India),"Living or traveling in countries where there have been outbreaks, Having unprotected sex.",zika
173,Stroke,"healthy diet, exercise regularly, and avoid smoking and drinking too much alcohol.",Common -More than 1 million cases per year (India),"Obesity, Heavy drinking, Use of illegal drugs, High BP, Cigarette smoking, High cholesterol",stroke
174,Cystic fibrosis,"Appropriate hand hygiene, build up immunity",Rare -Fewer than 1 million cases per year (India),"Family history, it is most common in white people.",cystic fibrosis
175,Autism,"Live healthy. Have regular check-ups, eat well-balanced meals, and exercise.",Common -More than 1 million cases per year (India),"Family history, being a boy, Other disorders, Extremely preterm babies, older parents at birth of child",autism
176,Eczema,"Establish a skin care routine, Use mild soap, use gloves if job requires hands in water",Very common-More than 10 million cases per year (India),"Family history of eczema, allergies, hay fever or asthma.",eczema
177,Down syndrome,No precaution,Common -More than 1 million cases per year (India),Family history,down syndrome
178,Fibromyalgia,"Get adequate sleep, Reduce emotional and mental stress, Get regular exercise, Eat a balanced diet.",Very common-More than 10 million cases per year (India),"Family history, being woman, osteoarthritis, rheumatoid arthritis or lupus",fibromyalgia
179,Muscular dystrophy,"Exercise, Braces, Mobility aids, Breathing assistance, swimming.",Rare -Fewer than 1 million cases per year (India),Family history,muscular dystrophy
180,Adenomyosis,No precaution,Common -More than 1 million cases per year (India),"Prior uterine surgery, such as a C-section or fibroid removal, Childbirth, Middle age",adenomyosis
181,Sickle cell anemia,"Take folic acid supplements daily, healthy diet. Drink plenty of water. Avoid temperature extremes.",Rare -Fewer than 1 million cases per year (India),If both parents carry a sickle cell gene.,sickle cell anemia
182,scleroderma,"Frequently massage skin, avoid soaps that dry skin, keep skin moist by use of moisturizing lotions",Rare -Fewer than 1 million cases per year (India),"Genetics, being woman, Immune system problems, Environmental triggers.",scleroderma
183,Thrombocythemia,No precaution,Rare -Fewer than 1 million cases per year (India),"High blood cholesterol, high blood pressure, diabetes, and smoking.",thrombocythemia
184,Alzheimer's,"Stopping smoking, keeping alcohol to a minimum, eating a healthy, balanced diet, exercising",Common -More than 1 million cases per year (India),"Lack of exercise, Obesity, Smoking, High BP, High cholesterol, Poorly controlled diabetes, family history",alzheimer's
185,Cerebral palsy,"Making sure child is vaccinated,Using proper car seat, Using crib with bed rail, Never shake a baby.",Common -More than 1 million cases per year (India),"Low birth weight, severe or untreated jaundice, Premature birth, Viral encephalitis, Toxoplasmosis",cerebral palsy
186,Anemia,"consuming iron-rich foods such as fish, poultry, eggs, meat, peas, beans, lentils, and potatoes.",Very common-More than 10 million cases per year (India),"Family history, A diet lacking in certain vitamins and minerals, Intestinal disorders, Pregnancy.",anemia
187,Ankylosing spondylitis,"Avoid Alcohol, Get Plenty of Calcium and Vitamin D, Practice Good Posture, exercise",Common -More than 1 million cases per year (India),"Late adolescence or early adulthood, being man, family history",ankylosing spondylitis
188,Lupus,"Limit direct sunlight, Get enough sleep, manage stress, Stay away from people who are sick.",Common -More than 1 million cases per year (India),"Men, Blacks,Latinos and Asian Americans are more likely to have lupus nephritis than whites.",lupus
189,Multiple sclerosis,No precaution,Rare -Fewer than 1 million cases per year (India),"Family history, being woman, Smoking, Vitamin D deficiency, diabetes, inflammatory bowel disease",multiple sclerosis
190,Ascariasis,"Avoid ingesting soil that may be contaminated with human or pig feces, washing hands before food",Very common-More than 10 million cases per year (India),"Children likely to play in dirt, Poor sanitation.",ascariasis
191,Amnesia,"Avoid heavy use of alcohol, drugs, Stay mentally active, exercise, use protective gear while playing",Very common-More than 10 million cases per year (India),"Brain surgery, head injury or trauma, Stroke, Alcohol abuse, Seizures",amnesia
192,Anxiety disorders,"Avoid coffee, tea, cola and chocolate, xercise daily and eat a healthy, balanced diet.",Very common-More than 10 million cases per year (India),"Trauma, Stress due to an illness, Other mental health disorders, family history",anxiety disorders
193,Bladder stones,"Drink plenty of fluids, especially water.",Common -More than 1 million cases per year (India),"Nerve damage. Stroke, spinal cord injuries, Parkinson's disease, diabetes, being man",bladder stones
194,Breast cysts,No precaution,Common -More than 1 million cases per year (India),Having HRT can increase the risk of developing new cysts.,breast cysts
195,Bronchitis,"Don't smoke, Wash your hands frequently, wear mask in a large crowd, Avoid contacting ill people",Very common-More than 10 million cases per year (India),"Cigarette smoke, Gastric reflux, Exposure to irritants on the job, weak immunity.",bronchitis
196,Cirrhosis,"Don't abuse alcohol,Avoid high-risk sexual behavior,Get vaccinated against hepatitis B,low-fat diet.",Common -More than 1 million cases per year (India),"Excessive alcohol consumption, Having viral hepatitis, obesity.",cirrhosis
197,Dementia,"Balanced diet, exercising regularly, stopping smoking, keeping alcohol within recommended limits.",Very common-More than 10 million cases per year (India),"Depression, smoking, Diabetes, Sleep apnea, Down syndrome, Family history, Heavy alcohol use",dementia
198,Gallstones,"Eat more food that is high in fiber, fewer refined carbohydrates, less sugar, Avoid unhealthy fat",Very common-More than 10 million cases per year (India),"Sickle cell anemia or leukemia, Family history, being woman, diabetes, Being pregnant.",gallstones
199,Gastritis,"Avoid known trigger foods, quit smoking, manage stress, avoiding alcohol, maintain healthy weight.",Common -More than 1 million cases per year (India),"Excessive alcohol use, Stress, Older age, Bacterial infection, vitamin B-12 deficiency.",gastritis
1100,Iritis,"Protecting the eye from injury, avoid exposure of eye to infections, foods rich in vitamins C and E.",Rare -Fewer than 1 million cases per year (India),"Develop a sexually transmitted infection, Smoke tobacco, Have a specific genetic alteration.",iritis
